// pclk0 enable
t2974,669,106,1
t2975,669,106,1
t2976,669,106,1
t2977,669,106,1
t2794,669,58,2
t2795,669,58,2
t2796,669,58,2
t2797,669,58,2
t2798,669,58,2
t2799,669,58,2
t5095,106,58,2
t6034,106,58,2
t13863,106,58,2
t16461,106,58,2
t13013,106,58,2

// pclk1 enable
t2970,661,58,1
t2971,661,58,1
t2972,661,58,1
t2973,661,58,1
t2788,661,106,2
t2789,661,106,2
t2790,661,106,2
t2791,661,106,2
t2792,661,106,2
t2793,661,106,2
t4750,58,106,2
t5500,58,106,2
t7081,58,106,2
t13029,58,106,2
t13137,58,106,2
t16453,58,106,2

// pclk0:
// V counter
t3324,106,4228,4310
t2967,106,4066,4140
t2631,106,3906,3977
t2307,106,3748,3787
t1874,106,3587,3594
t1483,106,3414,3430
t1043,106,3243,3251
t665,106,3068,3088
t462,106,2939,2946
// H counter
t3323,106,4227,4309
t2966,106,4065,4139
t2630,106,3905,3976
t2306,106,3747,3786
t1873,106,3586,3593
t1482,106,3413,3429
t1042,106,3242,3250
t664,106,3067,3087
t461,106,2938,2945

// hpos0 buffer
t5207,106,5151,5224

// Random logic
t6515,106,1000,5772
t6842,106,1002,5863
t6843,106,5820,5864
t6838,106,1015,5858
t6946,106,5804,1079
t6940,106,5791,5885
t6939,106,5813,5884
t6805,106,5814,5843
t6806,106,5826,5861
t6807,106,5783,5850
t6808,106,5810,5862
t6809,106,5818,5877
t6810,106,5811,5886
t6811,106,5799,5845
t6812,106,5799,5882
t6813,106,5799,5846
t6820,106,5798,5856
t6821,106,5809,5859
t6822,106,5809,5860
t6823,106,5823,5875
t6824,106,5794,5852
t6825,106,5817,5841
t6819,106,5775,5855
t6818,106,1006,5854
t6954,106,638,5893
t6814,106,5774,5847
t6815,106,5773,5848
t6816,106,5808,5849
t4890,106,752,872
t4525,106,573,811
t4524,106,644,810
t4523,106,559,812

// Palette RAM controller
t9085,106,6741,1275
t9494,106,1376,1
t9243,106,1297,1
t9330,106,6915,6961
t8985,106,6856,6921
t9493,106,1375,1
t9242,106,1295,1
t9329,106,6914,6960
t8984,106,6855,6920
t9492,106,1374,1
t9241,106,1293,1
t9328,106,6913,6959
t8983,106,6854,6919
t9491,106,1373,1
t9240,106,1291,1
t9327,106,6912,6958
t8982,106,6853,6918
t9490,106,1372,1
t9239,106,1289,1
t9326,106,6911,6957
t8981,106,6852,6917
t9489,106,1377,1
t9238,106,1287,1
t9325,106,6910,6956
t8980,106,6851,6916

// Palette RAM row drivers
t10585,106,7581,2
t10647,106,7583,2
t10924,106,7710,2
t10990,106,7837,2
t11236,106,7870,2
t11269,106,7904,2
t11537,106,8028,2
t11636,106,8145,2
t11805,106,8148,2
t11904,106,8213,2
t12148,106,8335,2
t12212,106,8448,2
t12410,106,8450,2
t12537,106,8487,2

// Pixel Pipeline
t11326,106,10695,8020
t11327,106,10696,8021
t11328,106,10697,8022
t11329,106,10698,8023
t12079,106,10700,1540
t10957,106,7638,7831
t10958,106,7639,7832
t10959,106,7640,7833
t10960,106,7641,7834
t10961,106,7642,7835
t9897,106,1359,2
t12013,106,1541,1538
t12326,106,1551,1558
t12361,106,1556,1565
t12472,106,1559,1573
t12562,106,1570,1574

// Sprite buffers
t12944,106,1612,8706
t12947,106,8722,8705
t14819,106,2434,2
t14800,106,10768,2
t14818,106,2437,2
t14799,106,10767,2
t14815,106,2436,2
t14798,106,10766,2
t14814,106,2435,2
t14797,106,10765,2
t14811,106,2433,2
t14796,106,10764,2
t14810,106,2430,2
t14795,106,10763,2
t14807,106,2432,2
t14794,106,10762,2
t14806,106,2431,2
t14793,106,10761,2

// Sprite evaluation
t7125,106,5868,1105
t7020,106,5876,2
t7065,106,5888,5934
t7035,106,1077,2
t7075,106,5904,359
t7127,106,5919,5895
t7128,106,5921,5896
t7129,106,5923,5897
t7079,106,1107,2
t6993,106,1064,2

// Sprite data bus buffer
t5131,106,894,359
t4924,106,868,566
t4836,106,862,691
t4752,106,859,871
t4706,106,820,870
t4629,106,816,864
t4592,106,814,856
t4522,106,4891,818

// $2004 I/O
t373,106,121,135
t362,106,2915,2921
t374,106,2918,163

// Sprite RAM controllers
t787,106,261,2
t1727,106,426,3591
t1567,106,3431,3364
t1334,106,3377,359
t1954,106,253,1
t1941,106,273,1
t3170,106,629,4269
t3033,106,4141,4058
t2786,106,4060,566
t3408,106,500,1
t3368,106,516,1
t4163,106,745,4702
t4004,106,4558,4475
t3744,106,4512,691
t4345,106,695,1
t4309,106,706,1
t5917,106,953,5532
t5812,106,5369,5295
t5518,106,5297,871
t6202,106,896,1
t6132,106,904,1
t7467,106,1126,6153
t7353,106,6004,5924
t7169,106,5929,870
t7752,106,1102,1
t7690,106,1112,1
t8944,106,1270,6897
t8816,106,6737,6646
t8557,106,6649,864
t9198,106,1201,1
t9164,106,1208,1
t10336,106,1401,7508
t10227,106,7368,7297
t9936,106,7299,856
t10586,106,1334,1
t10503,106,1340,1
t11499,106,1522,8144
t11368,106,7953,7827
t10992,106,7830,818
t11847,106,1502,1
t11804,106,1505,1

// Sprite RAM row drivers
t7090,106,2961,2
t7133,106,5732,2
t7091,106,2962,2
t7135,106,5733,2
t7134,106,5734,2
t7092,106,2963,2
t7093,106,2964,2
t7136,106,5735,2
t7137,106,5736,2
t7094,106,2965,2
t7095,106,2966,2
t7138,106,5737,2
t7139,106,5738,2
t7096,106,2967,2
t7097,106,2968,2
t7140,106,5739,2
t7141,106,5740,2
t7098,106,2969,2
t7099,106,2970,2
t7142,106,5741,2
t7143,106,5742,2
t7100,106,2971,2
t7101,106,2972,2
t7144,106,5743,2
t7145,106,5744,2
t7102,106,2973,2
t7103,106,2974,2
t7146,106,5745,2
t7147,106,5746,2
t7104,106,2975,2
t7105,106,2976,2
t7148,106,5747,2
t7149,106,5748,2
t7106,106,2977,2
t7107,106,2978,2
t7150,106,5749,2
t7151,106,5750,2
t7108,106,2979,2
t7109,106,2980,2
t7152,106,5751,2
t7153,106,5752,2
t7110,106,2981,2
t7111,106,2982,2
t7154,106,5753,2
t7155,106,5754,2
t7112,106,2983,2
t7113,106,2984,2
t7156,106,5755,2
t7157,106,5756,2
t7114,106,2985,2
t7115,106,2986,2
t7158,106,5757,2
t7159,106,5758,2
t7116,106,2987,2
t7117,106,2988,2
t7160,106,5759,2
t7161,106,5760,2
t7118,106,2989,2
t7119,106,2990,2
t7162,106,5761,2
t7163,106,5762,2
t7120,106,2991,2
t7121,106,2992,2
t7164,106,5763,2

// Sprite RAM precharge
t21000,106,243,1
t21001,106,274,1
t21002,106,281,1
t21003,106,294,1
t21004,106,301,1
t21005,106,313,1
t21006,106,336,1
t21007,106,346,1
t21008,106,362,1
t21009,106,380,1
t21010,106,389,1
t21011,106,398,1
t21012,106,415,1
t21013,106,427,1
t21014,106,458,1
t21015,106,474,1
t21016,106,477,1
t21017,106,489,1
t21018,106,498,1
t21019,106,518,1
t21020,106,524,1
t21021,106,538,1
t21022,106,546,1
t21023,106,560,1
t21024,106,565,1
t21025,106,575,1
t21026,106,583,1
t21027,106,599,1
t21028,106,603,1
t21029,106,625,1
t21030,106,630,1
t21031,106,643,1
t21032,106,651,1
t21033,106,663,1
t21034,106,671,1
t21035,106,679,1
t21036,106,694,1
t21037,106,711,1
t21038,106,717,1
t21039,106,728,1
t21040,106,731,1
t21041,106,746,1
t21042,106,758,1
t21043,106,771,1
t21044,106,774,1
t21045,106,803,1
t21046,106,807,1
t21047,106,817,1
t21048,106,826,1
t21049,106,866,1
t21050,106,869,1
t21051,106,873,1
t21052,106,882,1
t21053,106,893,1
t21054,106,895,1
t21055,106,911,1
t21056,106,914,1
t21057,106,916,1
t21058,106,919,1
t21059,106,937,1
t21060,106,942,1
t21061,106,948,1
t21062,106,950,1
t21063,106,956,1
t21064,106,960,1
t21065,106,971,1
t21066,106,972,1
t21067,106,986,1
t21068,106,1099,1
t21069,106,1113,1
t21070,106,1115,1
t21071,106,1121,1
t21072,106,1124,1
t21073,106,1131,1
t21074,106,1136,1
t21075,106,1151,1
t21076,106,1154,1
t21077,106,1166,1
t21078,106,1172,1
t21079,106,1185,1
t21080,106,1189,1
t21081,106,1194,1
t21082,106,1200,1
t21083,106,1209,1
t21084,106,1211,1
t21085,106,1220,1
t21086,106,1225,1
t21087,106,1234,1
t21088,106,1257,1
t21089,106,1263,1
t21090,106,1269,1
t21091,106,1279,1
t21092,106,1284,1
t21093,106,1304,1
t21094,106,1315,1
t21095,106,1327,1
t21096,106,1332,1
t21097,106,1341,1
t21098,106,1342,1
t21099,106,1348,1
t21100,106,1357,1
t21101,106,1361,1
t21102,106,1370,1
t21103,106,1383,1
t21104,106,1384,1
t21105,106,1393,1
t21106,106,1397,1
t21107,106,1405,1
t21108,106,1409,1
t21109,106,1474,1
t21110,106,1483,1
t21111,106,1489,1
t21112,106,1492,1
t21113,106,1498,1
t21114,106,1500,1
t21115,106,1506,1
t21116,106,1509,1
t21117,106,1513,1
t21118,106,1517,1
t21119,106,1527,1
t21120,106,1530,1
t21121,106,1533,1
t21122,106,1537,1
t21123,106,1546,1
t21124,106,1552,1
t21125,106,1564,1
t21126,106,1571,1
t21127,106,1575,1
t21128,106,1576,1
t21129,106,1577,1
t21130,106,1578,1
t21131,106,1579,1

t13082,106,1003,8865
t13988,106,9403,9463
// CHR I/O
t13741,106,9145,9320
t13742,106,9320,9163
t13793,106,9339,9136
t13794,106,9330,9223
t13795,106,9340,9224
t13796,106,9341,9225
t13797,106,9342,9226
t13798,106,9343,9227
t13799,106,9344,9228
t13800,106,9345,9229
t13801,106,9346,9230
t13802,106,9347,9231
t13803,106,9348,9232
t13804,106,9349,9233
t13805,106,9350,9234
t13806,106,9351,9235

t14477,106,2317,2
t14472,106,2313,2
t14640,106,2373,9782
t14459,106,2312,2
// VRAM_V refresh
t14415,106,2271,9713
t14416,106,10744,9687
t14417,106,2272,9714
t14418,106,10745,9688
t14419,106,2273,9715
t14420,106,10746,9689
t14421,106,2274,9716
t14422,106,10747,9690
t14423,106,2275,9717
t14424,106,10748,9691
t14425,106,2066,9718
t14426,106,10749,9692
t14427,106,2072,9719
t14428,106,10750,9693
t14429,106,2076,9720
t14430,106,10751,9694
t14431,106,2267,9721
t14432,106,10752,9695
t14433,106,2268,9722
t14434,106,10753,9696
t14435,106,1538,9723
t14436,106,10754,9697
t14437,106,1574,9724
t14438,106,10755,9698
t14439,106,1573,9725
t14440,106,10756,9699
t14441,106,1565,9726
t14442,106,10757,9700
t14443,106,1558,9727
t14444,106,10758,9701

// Render pipeline
t15588,106,10087,10253
t15589,106,10088,10254
t15590,106,10089,10255
t15591,106,10090,10256
t15437,106,2607,2
t15436,106,2610,2
t15440,106,1281,10165
